NAME;SKU;BARCODE;UNIT;COST PRICE;SALE PRICE;CURRENCY;STOCK QTITE;MIN STOCK;REORD QTE;CATEGORY;CATEGORY ID
SUNLIGHT;;PROD00220;PIECE;5375;6500;CDF;24;2;0;savon;
SUPERSHEK GM;;PROD00221;PIECE;1500;2000;CDF;60;2;0;boisson;
SUPERSHEK PM;;PROD00222;PIECE;813;1500;CDF;120;2;0;boisson;
TANGAWISI;;PROD00223;PIECE;20000;1500;CDF;24;2;0;Cornebeef;
TASSEMBERG;;PROD00224;PIECE;114000;12000;CDF;24;2;0;Cornebeef;
TEXAS GM;;PROD00225;PIECE;8500;10000;CDF;24;2;0;Cornebeef;
TEXAS PM;;PROD00226;PIECE;165450;10000;CDF;24;2;0;accessoires;
TIGE COTON BOIS;;PROD00227;PIECE;10000;500;CDF;50;2;0;Tomate;
TOMATE SALSA;;PROD00228;PIECE;715;1000;CDF;100;2;0;Tomate;
UNITY LAIT CONCENTRE;;PROD00229;PIECE;2750;3500;CDF;20;2;0;lait;
VAP;;PROD00230;PIECE;47000;500;CDF;24;2;0;biscuit;
VIANDE HACHEE;;PROD00231;kg;80000;10000;CDF;10;2;0;vivre frais;
VIGOR DOCTOR;;PROD00232;PIECE;25000;3500;CDF;36;2;0;Dentifrice;
VIM BOOM;;PROD00233;PIECE;2700;4500;CDF;12;2;0;savon;
VINAIGRE GM;;PROD00234;PIECE;27000;2500;CDF;12;2;0;Vinaigre;
VINAIGRE PM;;PROD00235;PIECE;8000;1500;CDF;24;2;0;Vinaigre;
VINNIC GM;;PROD00236;PIECE;1125;1250;CDF;36;2;0;pile;
VODY 22%;;PROD00237;PIECE;2850;4500;CDF;24;2;0;boisson;
YES ENERGY;;PROD00238;PIECE;335;500;CDF;960;2;0;boisson;
YOGO;;PROD00239;PIECE;700;1500;CDF;96;2;0;boisson;
ZAMZEEP 1L;;PROD00240;PIECE;6000;8500;CDF;30;2;0;boisson;
Yaourt local;;PROD00241;PIECE;3000;4500;CDF;20;2;0;yahourt;
SOFTCARE N4;;PROD00199;PIECE;13000;15000;CDF;6;2;0;pampers;
CRYSTAL 3L;;PROD00199;PIECE;16000;18500;CDF;6;2;0;huile ;
