NAME;SKU;BARCODE;UNIT;COST PRICE;SALE PRICE;CURRENCY;STOCK QTITE;MIN STOCK;REORD QTE;CATEGORY;CATEGORY ID
PILCHARD VIVO GM;SKU-00173;PROD00173;PIECE;79500;5000;CDF;10;2;0;Pilchard;
PINCE EN BOIS;SKU-00174;PROD00174;PIECE;6800;1000;CDF;30;2;0;Divers;
POP CORN;SKU-00175;PROD00175;PIECE;1000;3000;CDF;30;2;0;Popcorn;
POWER PLUS JAUNE;SKU-00176;PROD00176;PIECE;26000;2500;CDF;36;2;0;Boisson;
POWER PLUS ROUGE;SKU-00177;PROD00177;PIECE;21000;3000;CDF;36;2;0;Boisson;
PRESTIGE 100G;SKU-00178;PROD00178;PIECE;50225;1250;CDF;24;2;0;Beure;
PRESTIGE 250G;SKU-00179;PROD00179;PIECE;47850;3500;CDF;24;2;0;Beure;
PRESTIGE 500G;SKU-00180;PROD00180;PIECE;72500;5000;CDF;24;2;0;Beure;
PROTEX;SKU-00181;PROD00181;PIECE;1600;3000;CDF;24;2;0;Savon;
RAMA 1KG;SKU-00182;PROD00182;PIECE;9500;16000;CDF;24;2;0;Beure;
RAMA 500G;SKU-00183;PROD00183;PIECE;6000;8000;CDF;12;2;0;Beure;
RANI 330ML;SKU-00184;PROD00184;PIECE;20000;1500;CDF;24;2;0;Boisson;
RANI 500ML;SKU-00185;PROD00185;PIECE;15000;2500;CDF;24;2;0;Boisson;
RED BULL;SKU-00186;PROD00186;PIECE;69000;5000;CDF;12;2;0;Boisson;
RESERVE 7 GM;SKU-00187;PROD00187;PIECE;140500;15000;CDF;24;2;0;Boisson;
RESERVE 7 PM;SKU-00188;PROD00188;PIECE;140500;8500;CDF;24;2;0;Accessoires;
ROMAN OFF;SKU-00189;PROD00189;PIECE;142500;13500;CDF;10;2;0;Cornebeef;
ROYAL;SKU-00190;PROD00190;PIECE;4800;6500;CDF;10;2;0;Divers;
RUSH;SKU-00191;PROD00191;PIECE;450;1500;CDF;120;2;0;Boisson;
SALAMI ZAMBIAN;SKU-00192;PROD00192;PIECE;800;1500;CDF;50;2;0;Vivre Frais;
SANGRIA 1,5L;SKU-00193;PROD00193;PIECE;97500;25000;CDF;50;2;0;Sardines;
SANGRIA 1L;SKU-00194;PROD00194;PIECE;142000;18000;CDF;50;2;0;Sardines;
SARDINES;SKU-00195;PROD00195;PIECE;123000;3500;CDF;50;2;0;Divers;
SAVANNA;SKU-00196;PROD00196;PIECE;3200;4500;CDF;48;2;0;Boisson;
SEL DE TABLE;SKU-00197;PROD00197;PIECE;22000;1000;CDF;20;2;0;Sel;
SIR EDWARDS;SKU-00198;PROD00198;PIECE;17000;20500;CDF;7;2;0;Boisson;
SLEEPING BABY 500g;SKU-00199;PROD00199;PIECE;6000;8000;CDF;12;2;0;Pommade;
SLEEPING BABY 250g;SKU-00200;;PIECE;3500;6000;CDF;12;2;0;Pommade;
VASELINE BLUE;SKU-00201;;PIECE;915;2000;CDF;12;2;0;Pommade;
SOFTCARE LINGETTE;SKU-00202;;PIECE;76000;4500;CDF;6;2;0;Pampers;
SOFTCARE N2;SKU-00203;;PIECE;13000;15000;CDF;6;2;0;Pampers;
SOFTCARE N3;SKU-00204;;PIECE;13000;15000;CDF;6;2;0;Pampers;
SOFTCARE N4;SKU-00205;PROD00203;PIECE;80000;15000;CDF;12;2;0;Huile;
SOFTCARE N5;SKU-00206;PROD00204;PIECE;80000;15000;CDF;8;2;0;Huile;
SOJA 2,5L;SKU-00207;PROD00205;PIECE;176000;17000;CDF;24;2;0;Huile;
SOJA 5L;SKU-00208;PROD00206;PIECE;21000;27000;CDF;8;2;0;Huile;
